Fecha;Horario;Estacion;Monto
08-05-2025;12:51:28 AM;Estacion_0;710
08-05-2025;12:14:42 AM;Estacion_0;710
08-05-2025;12:07:20 AM;Estacion_0;710
08-05-2025;12:38:57 AM;Estacion_0;710
08-05-2025;12:18:22 AM;Estacion_0;710
08-05-2025;12:10:10 AM;Estacion_0;710
08-05-2025;12:23:52 AM;Estacion_0;710
08-05-2025;12:35:39 AM;Estacion_0;710
08-05-2025;12:23:02 AM;Estacion_0;710
08-05-2025;12:21:52 AM;Estacion_0;710
08-05-2025;12:01:23 AM;Estacion_0;710
08-05-2025;12:43:29 AM;Estacion_0;710
08-05-2025;12:37:01 AM;Estacion_0;710
08-05-2025;12:59:20 AM;Estacion_0;710
08-05-2025;12:32:11 AM;Estacion_0;710
08-05-2025;12:57:21 AM;Estacion_0;710
08-05-2025;12:43:24 AM;Estacion_0;710
08-05-2025;12:48:26 AM;Estacion_0;710
08-05-2025;12:58:41 AM;Estacion_0;710
08-05-2025;12:27:59 AM;Estacion_0;710
08-05-2025;12:15:14 AM;Estacion_0;710
08-05-2025;12:46:50 AM;Estacion_0;710
08-05-2025;12:43:54 AM;Estacion_0;710
08-05-2025;12:51:56 AM;Estacion_0;710
08-05-2025;12:02:36 AM;Estacion_0;710
08-05-2025;12:50:06 AM;Estacion_0;710
08-05-2025;12:20:08 AM;Estacion_0;710
08-05-2025;12:38:17 AM;Estacion_0;710
08-05-2025;12:03:24 AM;Estacion_0;710
08-05-2025;12:59:13 AM;Estacion_0;710
08-05-2025;12:49:57 AM;Estacion_0;710
08-05-2025;12:08:25 AM;Estacion_0;710
08-05-2025;12:52:01 AM;Estacion_0;710
08-05-2025;12:19:27 AM;Estacion_0;710
08-05-2025;12:46:59 AM;Estacion_0;710
08-05-2025;12:06:43 AM;Estacion_0;710
08-05-2025;12:07:46 AM;Estacion_0;710
08-05-2025;12:34:13 AM;Estacion_0;710
08-05-2025;12:16:35 AM;Estacion_0;710
08-05-2025;12:49:39 AM;Estacion_0;710
08-05-2025;12:03:01 AM;Estacion_0;710
08-05-2025;12:05:53 AM;Estacion_0;710
08-05-2025;12:41:03 AM;Estacion_0;710
08-05-2025;12:53:28 AM;Estacion_0;710
08-05-2025;12:17:25 AM;Estacion_0;710
08-05-2025;12:43:33 AM;Estacion_0;710
08-05-2025;12:09:35 AM;Estacion_0;710
08-05-2025;12:13:30 AM;Estacion_0;710
08-05-2025;12:47:14 AM;Estacion_0;710
08-05-2025;12:07:13 AM;Estacion_0;710
08-05-2025;12:22:59 AM;Estacion_0;710
08-05-2025;12:56:39 AM;Estacion_0;710
08-05-2025;12:20:15 AM;Estacion_0;710
08-05-2025;12:44:17 AM;Estacion_0;710
08-05-2025;12:46:52 AM;Estacion_0;710
08-05-2025;12:23:25 AM;Estacion_0;710
08-05-2025;12:24:59 AM;Estacion_0;710
08-05-2025;12:59:59 AM;Estacion_0;710
08-05-2025;12:44:40 AM;Estacion_0;710
08-05-2025;12:28:14 AM;Estacion_0;710
08-05-2025;12:44:00 AM;Estacion_0;710
08-05-2025;12:24:06 AM;Estacion_0;710
08-05-2025;12:08:23 AM;Estacion_0;710
08-05-2025;12:00:43 AM;Estacion_0;710
08-05-2025;12:07:23 AM;Estacion_0;710
08-05-2025;12:10:50 AM;Estacion_0;710
08-05-2025;12:16:07 AM;Estacion_0;710
08-05-2025;12:34:34 AM;Estacion_0;710
08-05-2025;12:32:58 AM;Estacion_0;710
